"GEOID","name.cd","name.st","B02001_001E","B02001_001M","B02001_003E","B02001_003M"
"0101","Congressional District 1 (115th Congress)","Alabama",699597,629,194080,1282
"0102","Congressional District 2 (115th Congress)","Alabama",683013,2074,210862,1944
"0103","Congressional District 3 (115th Congress)","Alabama",700551,1352,178003,1325
"0104","Congressional District 4 (115th Congress)","Alabama",683607,1524,47540,904
"0105","Congressional District 5 (115th Congress)","Alabama",704796,198,121575,999
"0106","Congressional District 6 (115th Congress)","Alabama",694370,2468,101997,1905
"0107","Congressional District 7 (115th Congress)","Alabama",675230,3420,427996,2618
"0200","Congressional District (at Large) (115th Congress)","Alaska",736855,NA,24443,787
"0401","Congressional District 1 (115th Congress)","Arizona",735985,2503,17121,975
"0402","Congressional District 2 (115th Congress)","Arizona",720794,2756,29891,1021
"0403","Congressional District 3 (115th Congress)","Arizona",739672,4264,34504,1995
"0404","Congressional District 4 (115th Congress)","Arizona",738648,3116,13422,1096
"0405","Congressional District 5 (115th Congress)","Arizona",765403,3066,22784,1716
"0406","Congressional District 6 (115th Congress)","Arizona",752459,4533,20352,1817
"0407","Congressional District 7 (115th Congress)","Arizona",767495,5552,74685,2519
"0408","Congressional District 8 (115th Congress)","Arizona",753310,3688,33771,2052
"0409","Congressional District 9 (115th Congress)","Arizona",754811,4942,40580,2123
"0501","Congressional District 1 (115th Congress)","Arkansas",724990,540,130344,875
"0502","Congressional District 2 (115th Congress)","Arkansas",754821,NA,167337,1131
"0503","Congressional District 3 (115th Congress)","Arkansas",772676,1289,22452,706
"0504","Congressional District 4 (115th Congress)","Arkansas",715985,1296,140505,729
"0601","Congressional District 1 (115th Congress)","California",703985,1378,10053,593
"0602","Congressional District 2 (115th Congress)","California",713613,1456,10745,726
"0603","Congressional District 3 (115th Congress)","California",722896,1893,43299,1587
"0604","Congressional District 4 (115th Congress)","California",718699,2067,9472,643
"0605","Congressional District 5 (115th Congress)","California",724966,2198,46276,1444
"0606","Congressional District 6 (115th Congress)","California",734450,2662,91465,2375
"0607","Congressional District 7 (115th Congress)","California",732954,2683,54965,2090
"0608","Congressional District 8 (115th Congress)","California",716168,3022,58895,2798
"0609","Congressional District 9 (115th Congress)","California",739025,1969,65639,2123
"0610","Congressional District 10 (115th Congress)","California",729022,973,23204,1160
"0611","Congressional District 11 (115th Congress)","California",739386,2228,62209,1592
"0612","Congressional District 12 (115th Congress)","California",740337,2239,40213,1158
"0613","Congressional District 13 (115th Congress)","California",740683,600,131139,2052
"0614","Congressional District 14 (115th Congress)","California",741332,2613,22630,863
"0615","Congressional District 15 (115th Congress)","California",751439,1487,45912,1982
"0616","Congressional District 16 (115th Congress)","California",721109,3343,42971,1399
"0617","Congressional District 17 (115th Congress)","California",748800,2634,19207,1433
"0618","Congressional District 18 (115th Congress)","California",730782,3022,13986,1203
"0619","Congressional District 19 (115th Congress)","California",748954,2637,22902,1236
"0620","Congressional District 20 (115th Congress)","California",729525,1500,14241,620
"0621","Congressional District 21 (115th Congress)","California",711464,3914,29486,1468
"0622","Congressional District 22 (115th Congress)","California",739449,3833,23239,1351
"0623","Congressional District 23 (115th Congress)","California",730050,4171,47269,2070
"0624","Congressional District 24 (115th Congress)","California",727935,796,14455,708
"0625","Congressional District 25 (115th Congress)","California",719970,3507,56017,2402
"0626","Congressional District 26 (115th Congress)","California",720336,1085,13317,561
"0627","Congressional District 27 (115th Congress)","California",717212,2232,33040,1710
"0628","Congressional District 28 (115th Congress)","California",716990,3511,19872,1389
"0629","Congressional District 29 (115th Congress)","California",717765,4192,27812,1531
"0630","Congressional District 30 (115th Congress)","California",750372,4830,35670,2470
"0631","Congressional District 31 (115th Congress)","California",733581,3343,77946,2731
"0632","Congressional District 32 (115th Congress)","California",719110,3066,20624,1653
"0633","Congressional District 33 (115th Congress)","California",713625,3080,20528,1614
"0634","Congressional District 34 (115th Congress)","California",720384,5060,31661,1563
"0635","Congressional District 35 (115th Congress)","California",730260,3211,50009,1967
"0636","Congressional District 36 (115th Congress)","California",736044,2504,31532,1683
"0637","Congressional District 37 (115th Congress)","California",722138,4776,169733,3394
"0638","Congressional District 38 (115th Congress)","California",717228,2483,28530,1664
"0639","Congressional District 39 (115th Congress)","California",722857,2264,15931,1437
"0640","Congressional District 40 (115th Congress)","California",709435,3827,34706,2027
"0641","Congressional District 41 (115th Congress)","California",739304,2158,69152,2236
"0642","Congressional District 42 (115th Congress)","California",761341,3230,40769,1984
"0643","Congressional District 43 (115th Congress)","California",719530,3824,164990,3202
"0644","Congressional District 44 (115th Congress)","California",721109,4133,114539,2462
"0645","Congressional District 45 (115th Congress)","California",749687,1925,14313,1620
"0646","Congressional District 46 (115th Congress)","California",726307,2892,11811,1284
"0647","Congressional District 47 (115th Congress)","California",716958,2798,53116,2339
"0648","Congressional District 48 (115th Congress)","California",723983,2709,8496,967
"0649","Congressional District 49 (115th Congress)","California",729768,3865,19627,1951
"0650","Congressional District 50 (115th Congress)","California",736001,4103,20671,1679
"0651","Congressional District 51 (115th Congress)","California",730710,4370,49044,1793
