"GEOID","name.county","name.st","variable","estimate","moe"
"01001","Autauga County","Alabama","B02001_001",55049,NA
"01001","Autauga County","Alabama","B02001_003",10196,260
"01003","Baldwin County","Alabama","B02001_001",199510,NA
"01003","Baldwin County","Alabama","B02001_003",18594,635
"01005","Barbour County","Alabama","B02001_001",26614,NA
"01005","Barbour County","Alabama","B02001_003",12756,71
"01007","Bibb County","Alabama","B02001_001",22572,NA
"01007","Bibb County","Alabama","B02001_003",4788,216
"01009","Blount County","Alabama","B02001_001",57704,NA
"01009","Blount County","Alabama","B02001_003",905,97
"01011","Bullock County","Alabama","B02001_001",10552,NA
"01011","Bullock County","Alabama","B02001_003",7967,204
"01013","Butler County","Alabama","B02001_001",20280,NA
"01013","Butler County","Alabama","B02001_003",8875,86
"01015","Calhoun County","Alabama","B02001_001",115883,NA
"01015","Calhoun County","Alabama","B02001_003",23791,432
"01017","Chambers County","Alabama","B02001_001",34018,NA
"01017","Chambers County","Alabama","B02001_003",13779,180
"01019","Cherokee County","Alabama","B02001_001",25897,NA
"01019","Cherokee County","Alabama","B02001_003",1209,101
"01021","Chilton County","Alabama","B02001_001",43817,NA
"01021","Chilton County","Alabama","B02001_003",4418,160
"01023","Choctaw County","Alabama","B02001_001",13287,NA
"01023","Choctaw County","Alabama","B02001_003",5658,110
"01025","Clarke County","Alabama","B02001_001",24847,NA
"01025","Clarke County","Alabama","B02001_003",11304,149
"01027","Clay County","Alabama","B02001_001",13483,NA
"01027","Clay County","Alabama","B02001_003",1993,107
"01029","Cleburne County","Alabama","B02001_001",14991,NA
"01029","Cleburne County","Alabama","B02001_003",354,73
"01031","Coffee County","Alabama","B02001_001",50991,NA
"01031","Coffee County","Alabama","B02001_003",8766,233
"01033","Colbert County","Alabama","B02001_001",54377,NA
"01033","Colbert County","Alabama","B02001_003",8532,295
"01035","Conecuh County","Alabama","B02001_001",12697,NA
"01035","Conecuh County","Alabama","B02001_003",5880,117
"01037","Coosa County","Alabama","B02001_001",10864,NA
"01037","Coosa County","Alabama","B02001_003",3516,219
"01039","Covington County","Alabama","B02001_001",37729,NA
"01039","Covington County","Alabama","B02001_003",4945,80
"01041","Crenshaw County","Alabama","B02001_001",13896,NA
"01041","Crenshaw County","Alabama","B02001_003",3312,110
"01043","Cullman County","Alabama","B02001_001",81316,NA
"01043","Cullman County","Alabama","B02001_003",899,123
"01045","Dale County","Alabama","B02001_001",49607,NA
"01045","Dale County","Alabama","B02001_003",9756,187
"01047","Dallas County","Alabama","B02001_001",41426,NA
"01047","Dallas County","Alabama","B02001_003",28798,181
"01049","DeKalb County","Alabama","B02001_001",70937,NA
"01049","DeKalb County","Alabama","B02001_003",1082,149
"01051","Elmore County","Alabama","B02001_001",80957,NA
"01051","Elmore County","Alabama","B02001_003",17296,251
"01053","Escambia County","Alabama","B02001_001",37875,NA
"01053","Escambia County","Alabama","B02001_003",12267,163
"01055","Etowah County","Alabama","B02001_001",103363,NA
"01055","Etowah County","Alabama","B02001_003",15931,247
"01057","Fayette County","Alabama","B02001_001",16783,NA
"01057","Fayette County","Alabama","B02001_003",2104,182
"01059","Franklin County","Alabama","B02001_001",31573,NA
"01059","Franklin County","Alabama","B02001_003",1427,193
"01061","Geneva County","Alabama","B02001_001",26765,NA
"01061","Geneva County","Alabama","B02001_003",2570,145
"01063","Greene County","Alabama","B02001_001",8587,NA
"01063","Greene County","Alabama","B02001_003",6977,101
"01065","Hale County","Alabama","B02001_001",15159,NA
"01065","Hale County","Alabama","B02001_003",8843,62
"01067","Henry County","Alabama","B02001_001",17187,NA
"01067","Henry County","Alabama","B02001_003",4793,54
"01069","Houston County","Alabama","B02001_001",103891,NA
"01069","Houston County","Alabama","B02001_003",27680,199
