GEOID,,Median Household Income Black,Median Household Total Population,Perc Diff MHHI,Abs Diff MHHI,Location,Congressional District,State,CD_GEO_ID,NAME,State,GEO_ID,B02001_001E,B02001_003E,Perc Diff Pop,Abs Diff Pop,Perc Pop
101,0,26956,44824,0.6628579908,17868,"Congressional District 1 (115th Congress), Alabama",1,1,101,Congressional District 1,Alabama,5001500US0101,699597,194080,-0.7225831443,-505517,0.2774168557
102,1,29348,43173,0.4710712825,13825,"Congressional District 2 (115th Congress), Alabama",2,1,102,Congressional District 2,Alabama,5001500US0102,683013,210862,-0.69127674,-472151,0.30872326
103,2,30393,42953,0.4132530517,12560,"Congressional District 3 (115th Congress), Alabama",3,1,103,Congressional District 3,Alabama,5001500US0103,700551,178003,-0.7459100051,-522548,0.2540899949
104,3,28789,40267,0.3986939456,11478,"Congressional District 4 (115th Congress), Alabama",4,1,104,Congressional District 4,Alabama,5001500US0104,683607,47540,-0.9304571194,-636067,0.06954288063
105,4,35509,51830,0.459629953,16321,"Congressional District 5 (115th Congress), Alabama",5,1,105,Congressional District 5,Alabama,5001500US0105,704796,121575,-0.8275032775,-583221,0.1724967225
106,5,46713,60706,0.2995525871,13993,"Congressional District 6 (115th Congress), Alabama",6,1,106,Congressional District 6,Alabama,5001500US0106,694370,101997,-0.8531085732,-592373,0.1468914268
107,6,27167,33366,0.2281812493,6199,"Congressional District 7 (115th Congress), Alabama",7,1,107,Congressional District 7,Alabama,5001500US0107,675230,427996,-0.3661478311,-247234,0.6338521689
200,7,53800,74444,0.3837174721,20644,"Congressional District (at Large) (115th Congress), Alaska",0,2,200,Congressional District (at Large),Alaska,5001500US0200,736855,24443,-0.9668279377,-712412,0.03317206235
401,8,50520,48583,-0.03834125099,-1937,"Congressional District 1 (115th Congress), Arizona",1,4,401,Congressional District 1,Arizona,5001500US0401,735985,17121,-0.9767372976,-718864,0.02326270236
402,9,36736,48125,0.3100228659,11389,"Congressional District 2 (115th Congress), Arizona",2,4,402,Congressional District 2,Arizona,5001500US0402,720794,29891,-0.9585304539,-690903,0.04146954608
403,10,44424,42173,-0.05067080857,-2251,"Congressional District 3 (115th Congress), Arizona",3,4,403,Congressional District 3,Arizona,5001500US0403,739672,34504,-0.9533522967,-705168,0.04664770331
404,11,51497,45933,-0.1080451288,-5564,"Congressional District 4 (115th Congress), Arizona",4,4,404,Congressional District 4,Arizona,5001500US0404,738648,13422,-0.9818289632,-725226,0.01817103681
405,12,60921,68292,0.1209927611,7371,"Congressional District 5 (115th Congress), Arizona",5,4,405,Congressional District 5,Arizona,5001500US0405,765403,22784,-0.9702326748,-742619,0.02976732519
406,13,41136,64223,0.5612359004,23087,"Congressional District 6 (115th Congress), Arizona",6,4,406,Congressional District 6,Arizona,5001500US0406,752459,20352,-0.9729526791,-732107,0.02704732085
407,14,29879,36097,0.2081060276,6218,"Congressional District 7 (115th Congress), Arizona",7,4,407,Congressional District 7,Arizona,5001500US0407,767495,74685,-0.9026899198,-692810,0.0973100802
408,15,53239,60342,0.1334172317,7103,"Congressional District 8 (115th Congress), Arizona",8,4,408,Congressional District 8,Arizona,5001500US0408,753310,33771,-0.9551698504,-719539,0.04483014961
409,16,34613,52245,0.5094039812,17632,"Congressional District 9 (115th Congress), Arizona",9,4,409,Congressional District 9,Arizona,5001500US0409,754811,40580,-0.9462381974,-714231,0.05376180262
501,17,23858,38289,0.6048704837,14431,"Congressional District 1 (115th Congress), Arkansas",1,5,501,Congressional District 1,Arkansas,5001500US0501,724990,130344,-0.8202126926,-594646,0.1797873074
502,18,33192,48103,0.4492347554,14911,"Congressional District 2 (115th Congress), Arkansas",2,5,502,Congressional District 2,Arkansas,5001500US0502,754821,167337,-0.7783090296,-587484,0.2216909704
503,19,31311,46332,0.4797355562,15021,"Congressional District 3 (115th Congress), Arkansas",3,5,503,Congressional District 3,Arkansas,5001500US0503,772676,22452,-0.9709425425,-750224,0.02905745746
504,20,24815,37758,0.5215796897,12943,"Congressional District 4 (115th Congress), Arkansas",4,5,504,Congressional District 4,Arkansas,5001500US0504,715985,140505,-0.8037598553,-575480,0.1962401447
601,21,38370,46594,0.2143341152,8224,"Congressional District 1 (115th Congress), California",1,6,601,Congressional District 1,California,5001500US0601,703985,10053,-0.9857198662,-693932,0.01428013381
