"GEOID","tract","county","state","variable","indicator","value"
"13001950100","Census Tract 9501","Appling County","Georgia","B02001_001","estimate",3144
"13001950100","Census Tract 9501","Appling County","Georgia","B02001_003","estimate",109
"13001950200","Census Tract 9502","Appling County","Georgia","B02001_001","estimate",4622
"13001950200","Census Tract 9502","Appling County","Georgia","B02001_003","estimate",1851
"13001950300","Census Tract 9503","Appling County","Georgia","B02001_001","estimate",4983
"13001950300","Census Tract 9503","Appling County","Georgia","B02001_003","estimate",718
"13001950400","Census Tract 9504","Appling County","Georgia","B02001_001","estimate",1617
"13001950400","Census Tract 9504","Appling County","Georgia","B02001_003","estimate",454
"13001950500","Census Tract 9505","Appling County","Georgia","B02001_001","estimate",4044
"13001950500","Census Tract 9505","Appling County","Georgia","B02001_003","estimate",225
"13003960100","Census Tract 9601","Atkinson County","Georgia","B02001_001","estimate",2176
"13003960100","Census Tract 9601","Atkinson County","Georgia","B02001_003","estimate",449
"13003960200","Census Tract 9602","Atkinson County","Georgia","B02001_001","estimate",4666
"13003960200","Census Tract 9602","Atkinson County","Georgia","B02001_003","estimate",1011
"13003960300","Census Tract 9603","Atkinson County","Georgia","B02001_001","estimate",1426
"13003960300","Census Tract 9603","Atkinson County","Georgia","B02001_003","estimate",36
"13005970100","Census Tract 9701","Bacon County","Georgia","B02001_001","estimate",2891
"13005970100","Census Tract 9701","Bacon County","Georgia","B02001_003","estimate",143
"13005970201","Census Tract 9702.01","Bacon County","Georgia","B02001_001","estimate",4227
"13005970201","Census Tract 9702.01","Bacon County","Georgia","B02001_003","estimate",984
"13005970202","Census Tract 9702.02","Bacon County","Georgia","B02001_001","estimate",4133
"13005970202","Census Tract 9702.02","Bacon County","Georgia","B02001_003","estimate",608
"13007960100","Census Tract 9601","Baker County","Georgia","B02001_001","estimate",2172
"13007960100","Census Tract 9601","Baker County","Georgia","B02001_003","estimate",1036
"13007960200","Census Tract 9602","Baker County","Georgia","B02001_001","estimate",1078
"13007960200","Census Tract 9602","Baker County","Georgia","B02001_003","estimate",311
